# $Id: steel_magfieldmap.dat,v 1.1 2007/08/24 14:52:43 fisyak Exp $
# $Log: steel_magfieldmap.dat,v $
# Revision 1.1  2007/08/24 14:52:43  fisyak
# Add mag. field map in steel
#
#Magentic field map was calculated by Wuzheng Meng from CAD.
#This calculation was done in the 3D OPERA frame.
#The magnetic steel and coils were in the simulation. 
#z 0-150 cm, phi 0-12 degree,r 222-440cm.
#115 r bin from 222-440cm
#16 z bin  from 0 to 150 cm.
#25 phi bin from 0 to 12 degree. 
#Please note br(phi)=br(phi+12*N),  bphi(phi)=bphi(phi+12*N),  bz(phi)=bz(phi+12*N);
# r     z   phi    bx        bz   by
---------------------------------------------------------< start of table
276    110    0    750.821    3341.98    0.000945183
276    120    0    -212.144    3276.08    0.000686575
276    130    0    -647.105    3383.68    0.0027318
276    140    0    -253.174    3480.99    0.00838623
276    150    0    78.3563    3501.51    0.0169923
277    0    0    0    2982.75    0
277    10    0    -1045.39    3073.64    0.00600604
277    20    0    -553.605    3212.13    0.01118
277    30    0    -177.141    3280.45    0.0140008
277    40    0    180.309    3272.32    0.0148058
277    50    0    603.631    3193.44    0.0138358
277    60    0    -18.9091    3120.4    0.010528
277    70    0    -797.436    3199.06    0.00654584
277    80    0    -371.187    3299.58    0.00402545
277    90    0    -25.3581    3334.14    0.00180319
277    100    0    323.344    3298.87    0.000100597
277    110    0    760.145    3200.67    -0.000318432
277    120    0    -214.518    3144.07    -0.000453187
277    130    0    -656.702    3237.13    0.00158126
277    140    0    -257.741    3323.32    0.0067985
277    150    0    79.7102    3341.91    0.0147297
278    0    0    0    2860.62    0
278    10    0    -1055.8    2939.36    0.00627629
278    20    0    -561.409    3061.28    0.0112638
278    30    0    -179.157    3123.45    0.0136784
278    40    0    183.878    3117.33    0.0140993
278    50    0    611.079    3049.72    0.0129127
278    60    0    -18.7426    2987.98    0.00978645
278    70    0    -805.629    3056.21    0.00602494
278    80    0    -376.22    3144.16    0.00335439
278    90    0    -25.2094    3175.22    0.000801377
278    100    0    328.647    3144.08    -0.00125795
278    110    0    767.804    3059.04    -0.00185567
278    120    0    -216.442    3010.64    -0.00184922
278    130    0    -664.709    3090.72    0.000178704
278    140    0    -261.705    3166.23    0.00492101
278    150    0    80.87    3182.87    0.01213
279    0    0    0    2737.18    0
279    10    0    -1064.3    2804.76    0.00653559
279    20    0    -568.056    2910.94    0.0113219
279    30    0    -180.956    2966.99    0.0132822
279    40    0    186.803    2962.85    0.013232
