// table produced by Bill Love  7/ 1/2000 
//  R351027_1g.root  sector 14 , invp cut at 0.1 
// zrange -185.0 to -175.0  n= 3605 mean   -179.227 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
// zrange  -38.0 to  -30.0  n= 3613 mean    -32.202 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  18,   1,   1,    453,  233.642,  0.306,   0.0033,  0.0009,    2.209,  0.100, -197.351,  0.075,  -32.135,  0.172 },
{  18,   2,   1,     55,  246.544,  0.320,   0.0125,  0.0005,    2.130,  0.290, -197.313,  0.076,  -32.043,  0.173 },
{  18,   3,   1,    168,  253.489,  0.268,   0.0083,  0.0006,    2.711,  0.259, -197.518,  0.072,  -31.950,  0.163 },
{  18,   4,   1,    494,  271.081,  0.152,   0.0188,  0.0008,    2.288,  0.176, -197.398,  0.004,  -32.010,  0.181 },
{  18,   5,   1,    289,  290.345,  0.376,   0.0233,  0.0006,    1.694,  0.225, -197.595,  0.076,  -31.961,  0.172 },
{  18,   6,   1,    127,  294.848,  0.363,   0.0249,  0.0016,    2.634,  0.372, -197.219,  0.180,  -31.956,  0.193 },
{  18,   7,   1,    488,  313.000,  0.111,   0.0270,  0.0002,    2.254,  0.098, -197.420,  0.061,  -32.207,  0.168 },
//     mean xls     2.2314 mean yls  -197.4171 mean zls   -32.0695 

//  R351027_1g.root  sector 20 , invp cut at 0.1 
// zrange -185.0 to -175.0  n= 4574 mean   -179.274 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  20,   1,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  20,   2,   6,    500,  305.458,  0.069,  -0.0077,  0.0002,  171.710,  0.196,  -95.881,  0.354, -179.200,  0.166 },
{  20,   3,   6,    500,  316.382,  0.068,  -0.0036,  0.0002,  171.665,  0.030,  -95.916,  0.031, -179.136,  0.165 },
{  20,   4,   6,    500,  330.509,  0.046,  -0.0058,  0.0002,  171.684,  0.019,  -95.872,  0.023, -179.197,  0.168 },
{  20,   5,   6,    500,  344.237,  0.048,   0.0063,  0.0004,  171.661,  0.009,  -95.901,  0.025, -179.082,  0.167 },
{  20,   6,   6,    500,   14.329,  0.180,   0.0104,  0.0002,  171.667,  0.016,  -95.980,  0.057, -179.288,  0.166 },
{  20,   7,   6,     71,   33.358,  0.335,   0.0179,  0.0029,  171.708,  0.045,  -96.010,  0.068, -179.368,  0.180 },
//     mean xls   171.6783 mean yls   -95.9129 mean zls  -179.1858 

// zrange -155.0 to -148.0  n= 2665 mean   -151.730 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  20,   1,   5,    486,  293.940,  0.252,  -0.0289,  0.0008,  171.450,  0.138,  -96.288,  0.061, -151.865,  0.176 },
{  20,   2,   5,    427,  305.074,  0.259,  -0.0235,  0.0008,  171.458,  0.178,  -96.280,  0.124, -151.702,  0.173 },
{  20,   3,   5,    443,  314.276,  0.304,  -0.0172,  0.0012,  171.593,  0.120,  -96.143,  0.120, -151.537,  0.188 },
{  20,   4,   5,    497,  330.139,  0.179,  -0.0077,  0.0010,  171.468,  0.061,  -96.250,  0.099, -151.656,  0.189 },
{  20,   5,   5,    218,  349.624,  0.331,   0.0036,  0.0010,  171.397,  0.055,  -96.544,  0.286, -151.561,  0.191 },
{  20,   6,   5,    301,  354.794,  0.377,   0.0083,  0.0012,  171.456,  0.021,  -96.166,  0.278, -151.693,  0.189 },
{  20,   7,   5,    465,   10.205,  0.209,   0.0163,  0.0010,  171.434,  0.020,  -96.217,  0.108, -151.893,  0.180 },
//     mean xls   171.4704 mean yls   -96.2526 mean zls  -151.7156 

// zrange -125.0 to -115.0  n= 4366 mean   -120.652 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  20,   1,   4,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  20,   2,   4,    499,  307.098,  0.244,   0.0232,  0.0004,  172.218,  0.123,  -95.884,  0.093, -120.633,  0.168 },
{  20,   3,   4,    273,  315.858,  0.263,   0.0306,  0.0004,  172.471,  0.136,  -95.585,  0.149, -120.490,  0.165 },
{  20,   4,   4,    489,  330.511,  0.072,   0.0309,  0.0002,  172.095,  0.039,  -96.010,  0.072, -120.540,  0.168 },
{  20,   5,   4,    500,  347.299,  0.086,   0.0289,  0.0002,  172.117,  0.037,  -95.997,  0.125, -120.431,  0.166 },
{  20,   6,   4,    500,   13.959,  0.149,   0.0272,  0.0002,  172.142,  0.022,  -96.018,  0.108, -120.614,  0.167 },
{  20,   7,   4,     68,   33.771,  0.229,   0.0232,  0.0028,  172.179,  0.081,  -96.033,  0.121, -120.738,  0.176 },
//     mean xls   172.1828 mean yls   -95.9327 mean zls  -120.5524 

// zrange  -97.0 to  -87.0  n= 3526 mean    -90.980 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  20,   1,   3,    501,  292.581,  0.173,   0.0016,  0.0004,  171.747,  0.139,  -96.646,  0.058,  -91.029,  0.169 },
{  20,   2,   3,    331,  306.132,  0.273,   0.0020,  0.0008,  171.396,  0.216,  -96.849,  0.153,  -90.777,  0.171 },
