# E [eV]	eps1	eps2	Im(-1/eps)
# Palik Vol.  I			
101.25	1.016704553	0.03494565	0.033766871
101.32	1.015210097	0.035145889	0.034059831
101.38	1.01371613	0.035091076	0.034107028
101.4	1.013202206	0.034990312	0.034043792
101.45	1.011869364	0.034559354	0.03371401
101.5	1.010786283	0.033803308	0.033048753
101.6	1.009179881	0.032076984	0.031464281
101.63	1.008863046	0.031653104	0.031068806
101.65	1.008795293	0.031185145	0.030614477
101.75	1.008143229	0.029661785	0.029159295
101.82	1.007874609	0.028685928	0.02821657
101.88	1.007747725	0.027881257	0.027433195
101.9	1.007851294	0.027516672	0.027069447
101.95	1.007820895	0.027194028	0.026754124
102	1.007771495	0.026419447	0.025995682
102.03	1.00796418	0.026101146	0.025673097
102.05	1.008109537	0.025878578	0.025447134
102.1	1.008316519	0.025653337	0.025215587
102.15	1.008504987	0.025222832	0.024783702
102.18	1.008700634	0.02506789	0.024622098
102.25	1.009067936	0.024930598	0.0244696
102.3	1.009253016	0.024779391	0.024312454
102.35	1.009516684	0.024719573	0.024241174
102.4	1.009742347	0.024818516	0.024327215
102.45	1.009877237	0.02501369	0.024511745
102.53	1.009728326	0.025505953	0.025000889
102.55	1.009561483	0.025618202	0.025119069
102.6	1.00914783	0.025640967	0.025161964
102.65	1.008764521	0.025483765	0.025026892
102.7	1.00846727	0.025174471	0.024738092
102.78	1.008289026	0.024639312	0.0242214
102.88	1.008329528	0.024041554	0.023632559
102.95	1.008515999	0.023785686	0.023372684
103	1.008618455	0.02368211	0.023266294
103.12	1.008698458	0.023799227	0.02337752
103.2	1.008430018	0.02373333	0.023325269
103.28	1.008085735	0.02350174	0.023113681
103.32	1.008003186	0.023170954	0.022792433
103.35	1.007891028	0.023043709	0.02267244
103.43	1.007828513	0.022482171	0.022123249
103.45	1.008010353	0.022236252	0.021873602
103.55	1.008394417	0.021767862	0.021396985
103.6	1.008629881	0.021607038	0.021229136
103.62	1.008732026	0.021594185	0.021212225
103.7	1.009043871	0.021422293	0.021030527
103.8	1.009371364	0.021395354	0.020990483
103.88	1.009543021	0.021411357	0.020999029
104	1.009691763	0.021333599	0.020916676
104.1	1.009836591	0.02117307	0.020753472
104.22	1.010200878	0.020859981	0.020432113
104.28	1.010393329	0.020841084	0.020405847
104.43	1.010825943	0.020861188	0.020408042
104.47	1.010988962	0.020807051	0.020348564
104.5	1.011073597	0.02084753	0.020384706
104.53	1.01118535	0.020842673	0.020375459
104.57	1.011277672	0.020882527	0.020410661
104.65	1.011473878	0.020922516	0.020441783
